,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Split-Encoded
0,0,0,0-0,f25486,-0.5,0-1,0-2,0-1,505.35025,448.429749,b001
1,0,1,0-1,f36939,-0.5,0-3,0-4,0-3,152.133728,153.884293,b001
2,0,2,0-2,f37613,0.5,0-5,0-6,0-5,82.8045654,294.545441,b100
3,0,3,0-3,Leaf,,,,,0.984198809,80.330574,
4,0,4,0-4,Leaf,,,,,0.380445629,73.5537186,
5,0,5,0-5,Leaf,,,,,-0.035217531,252.2314,
6,0,6,0-6,Leaf,,,,,0.413680583,42.3140488,
7,1,0,1-0,f25399,0.5,1-1,1-2,1-1,109.805458,448.429749,b100
8,1,1,1-1,f3334,0.5,1-3,1-4,1-3,34.1414185,372.892548,b100
9,1,2,1-2,f25049,-0.5,1-5,1-6,1-5,61.7208939,75.5371857,b001
10,1,3,1-3,Leaf,,,,,-0.0766161755,360.661163,
11,1,4,1-4,Leaf,,,,,0.414303571,12.2314043,
12,1,5,1-5,Leaf,,,,,0.71907872,24.2975197,
13,1,6,1-6,Leaf,,,,,0.142524913,51.2396698,
14,2,0,2-0,f3388,0.5,2-1,2-2,2-1,361.187439,448.429749,b100
15,2,1,2-1,f4687,0.5,2-3,2-4,2-3,23.4216805,377.685944,b100
16,2,2,2-2,f37076,0.5,2-5,2-6,2-5,143.007355,70.7437973,b100
17,2,3,2-3,Leaf,,,,,-0.128558591,357.52066,
18,2,4,2-4,Leaf,,,,,0.197149545,20.1652889,
19,2,5,2-5,Leaf,,,,,0.288994789,44.9586754,
20,2,6,2-6,Leaf,,,,,1.17398953,25.7851238,
21,3,0,3-0,f1291,0.5,3-1,3-2,3-1,288.580414,448.429749,b100
22,3,1,3-1,f6836,0.5,3-3,3-4,3-3,206.64003,401.983459,b100
23,3,2,3-2,f34045,-0.5,3-5,3-6,3-5,158.813538,46.4462814,b001
24,3,3,3-3,Leaf,,,,,-0.129196003,380.661163,
25,3,4,3-4,Leaf,,,,,0.810033321,21.3223133,
26,3,5,3-5,Leaf,,,,,1.32602143,19.8347111,
27,3,6,3-6,Leaf,,,,,0.210386097,26.6115704,
28,4,0,4-0,f31368,0.5,4-1,4-2,4-1,82.7695694,448.429749,b100
29,4,1,4-1,f37155,0.5,4-3,4-4,4-3,24.7814884,373.388428,b100
30,4,2,4-2,f29787,-0.5,4-5,4-6,4-5,48.7923203,75.0413208,b001
31,4,3,4-3,Leaf,,,,,-0.0917914733,308.595032,
32,4,4,4-4,Leaf,,,,,0.111091569,64.7933884,
33,4,5,4-5,Leaf,,,,,-0.0468374044,25.7851238,
34,4,6,4-6,Leaf,,,,,0.459102124,49.2561989,
35,5,0,5-0,f5147,0.5,5-1,5-2,5-1,371.984955,448.429749,b100
36,5,1,5-1,f5879,0.5,5-3,5-4,5-3,15.0642319,387.272705,b100
37,5,2,5-2,f33700,-0.5,5-5,5-6,5-5,153.941376,61.1570244,b001
38,5,3,5-3,Leaf,,,,,-0.138928995,373.553711,
39,5,4,5-4,Leaf,,,,,0.17231892,13.7190084,
40,5,5,5-5,Leaf,,,,,-0.0766769126,17.8512402,
41,5,6,5-6,Leaf,,,,,0.962730825,43.3057861,
42,6,0,6-0,f4071,0.5,6-1,6-2,6-1,62.7225304,448.429749,b100
43,6,1,6-1,f28249,0.5,6-3,6-4,6-3,16.4002037,409.586761,b100
44,6,2,6-2,f31578,-0.5,6-5,6-6,6-5,95.8548279,38.8429756,b001
45,6,3,6-3,Leaf,,,,,-0.0946148187,363.636353,
46,6,4,6-4,Leaf,,,,,0.0941031426,45.9504128,
47,6,5,6-5,Leaf,,,,,1.1568799,8.42975235,
48,6,6,6-6,Leaf,,,,,0.0599052794,30.4132233,
49,7,0,7-0,f40635,-0.5,7-1,7-2,7-1,126.333481,448.429749,b001
50,7,1,7-1,f30134,-0.5,7-3,7-4,7-3,111.902237,97.0247879,b001
51,7,2,7-2,f30163,-0.5,7-5,7-6,7-5,3.17654419,351.404938,b001
52,7,3,7-3,Leaf,,,,,0.830846727,21.1570244,
53,7,4,7-4,Leaf,,,,,0.0635092929,75.8677673,
54,7,5,7-5,Leaf,,,,,-0.0306857917,20.3305779,
55,7,6,7-6,Leaf,,,,,-0.154565603,331.074371,
56,8,0,8-0,f40322,0.5,8-1,8-2,8-1,72.3373108,448.429749,b100
57,8,1,8-1,f3697,0.5,8-3,8-4,8-3,73.8040009,409.586761,b100
58,8,2,8-2,f22610,0.5,8-5,8-6,8-5,103.975677,38.8429756,b100
59,8,3,8-3,Leaf,,,,,-0.121358924,401.48761,
60,8,4,8-4,Leaf,,,,,0.74332428,8.09917355,
61,8,5,8-5,Leaf,,,,,0.820418596,18.3471069,
62,8,6,8-6,Leaf,,,,,-0.143367946,20.4958668,
63,9,0,9-0,f839,0.5,9-1,9-2,9-1,32.7348175,448.429749,b100
64,9,1,9-1,f26603,0.5,9-3,9-4,9-3,103.647713,217.52066,b100
65,9,2,9-2,f12914,0.5,9-5,9-6,9-5,3.11885071,230.909088,b100
66,9,3,9-3,Leaf,,,,,-0.112256758,155.702469,
67,9,4,9-4,Leaf,,,,,0.34384948,61.8181801,
68,9,5,9-5,Leaf,,,,,-0.147294924,228.595032,
69,9,6,9-6,Leaf,,,,,0.156359091,2.31404948,
70,10,0,10-0,f40928,-0.5,10-1,10-2,10-1,70.6737137,448.429749,b001
71,10,1,10-1,f23331,0.5,10-3,10-4,10-3,48.7144318,88.7603302,b100
72,10,2,10-2,f39692,-0.5,10-5,10-6,10-5,16.7410965,359.669403,b001
73,10,3,10-3,Leaf,,,,,-0.032473933,40.9917336,
74,10,4,10-4,Leaf,,,,,0.41047281,47.7685928,
75,10,5,10-5,Leaf,,,,,0.0163325127,97.5206604,
76,10,6,10-6,Leaf,,,,,-0.129031762,262.148743,
77,11,0,11-0,f27659,0.5,11-1,11-2,11-1,172.82309,564.982544,b100
78,11,1,11-1,f25938,-0.5,11-3,11-4,11-3,48.6557579,287.121918,b001
79,11,2,11-2,f2332,0.5,11-5,11-6,11-5,108.530884,277.860626,b100
80,11,3,11-3,Leaf,,,,,0.188390896,85.6545792,
81,11,4,11-4,Leaf,,,,,-0.0802398175,201.467331,
82,11,5,11-5,Leaf,,,,,0.193845242,181.859299,
83,11,6,11-6,Leaf,,,,,0.588618219,96.0013199,
84,12,0,12-0,f3334,0.5,12-1,12-2,12-1,60.7893219,440.987366,b100
85,12,1,12-1,f25399,0.5,12-3,12-4,12-3,38.9663506,415.91571,b100
86,12,2,12-2,f1356,0.5,12-5,12-6,12-5,39.8916092,25.0716743,b100
87,12,3,12-3,Leaf,,,,,-0.066076085,327.148712,
88,12,4,12-4,Leaf,,,,,0.156991929,88.766983,
89,12,5,12-5,Leaf,,,,,0.717936695,16.3198261,
90,12,6,12-6,Leaf,,,,,-0.0613367409,8.75184917,
91,13,0,13-0,f3388,0.5,13-1,13-2,13-1,161.806076,447.139862,b100
92,13,1,13-1,f11763,0.5,13-3,13-4,13-3,22.2920952,334.323975,b100
93,13,2,13-2,f1103,0.5,13-5,13-6,13-5,56.932106,112.815903,b100
94,13,3,13-3,Leaf,,,,,-0.122408047,312.537598,
95,13,4,13-4,Leaf,,,,,0.185704559,21.7863674,
96,13,5,13-5,Leaf,,,,,0.419026405,89.8203964,
97,13,6,13-6,Leaf,,,,,-0.105417825,22.9955063,
98,14,0,14-0,f1379,0.5,14-1,14-2,14-1,140.885605,448.333099,b100
99,14,1,14-1,f1291,0.5,14-3,14-4,14-3,16.3299522,315.594055,b100
100,14,2,14-2,f29889,-0.5,14-5,14-6,14-5,48.1645813,132.739014,b001
101,14,3,14-3,Leaf,,,,,-0.13089028,285.720856,
102,14,4,14-4,Leaf,,,,,0.099660486,29.8732128,
103,14,5,14-5,Leaf,,,,,0.473049432,54.317688,
104,14,6,14-6,Leaf,,,,,0.10566023,78.4213257,
105,15,0,15-0,f31368,0.5,15-1,15-2,15-1,49.2259865,437.634918,b100
106,15,1,15-1,f37207,0.5,15-3,15-4,15-3,20.3666,345.740753,b100
107,15,2,15-2,f37116,-0.5,15-5,15-6,15-5,30.5095787,91.8941422,b001
108,15,3,15-3,Leaf,,,,,-0.0882087722,260.438416,
109,15,4,15-4,Leaf,,,,,0.079969056,85.3023453,
110,15,5,15-5,Leaf,,,,,-0.0599520802,28.0789623,
111,15,6,15-6,Leaf,,,,,0.312539548,63.8151817,
112,16,0,16-0,f5147,0.5,16-1,16-2,16-1,164.065872,439.493683,b100
113,16,1,16-1,f6727,0.5,16-3,16-4,16-3,13.9043388,337.070251,b100
114,16,2,16-2,f27706,0.5,16-5,16-6,16-5,50.9641266,102.423447,b100
115,16,3,16-3,Leaf,,,,,-0.128867343,330.201935,
116,16,4,16-4,Leaf,,,,,0.276943535,6.86829376,
117,16,5,16-5,Leaf,,,,,0.409591168,84.2038803,
118,16,6,16-6,Leaf,,,,,-0.136880994,18.2195702,
119,17,0,17-0,f4071,0.5,17-1,17-2,17-1,35.4342957,421.789185,b100
120,17,1,17-1,f26442,0.5,17-3,17-4,17-3,16.1635399,372.320679,b100
121,17,2,17-2,f31527,-0.5,17-5,17-6,17-5,26.8895397,49.4685059,b001
122,17,3,17-3,Leaf,,,,,-0.00437209383,199.436752,
123,17,4,17-4,Leaf,,,,,-0.129535437,172.883911,
124,17,5,17-5,Leaf,,,,,0.433221608,23.2123699,
125,17,6,17-6,Leaf,,,,,-0.00491140923,26.256134,
126,18,0,18-0,f40515,-0.5,18-1,18-2,18-1,93.0194702,414.4758,b001
127,18,1,18-1,f45170,-0.5,18-3,18-4,18-3,66.047493,104.851891,b001
128,18,2,18-2,f42484,0.5,18-5,18-6,18-5,3.91954803,309.623901,b100
129,18,3,18-3,Leaf,,,,,0.394451231,59.0694122,
130,18,4,18-4,Leaf,,,,,-0.0823529735,45.7824821,
131,18,5,18-5,Leaf,,,,,-0.153062701,259.758636,
132,18,6,18-6,Leaf,,,,,-0.0595981777,49.8652649,
133,19,0,19-0,f31989,0.5,19-1,19-2,19-1,44.3409233,413.88736,b100
134,19,1,19-1,f39723,0.5,19-3,19-4,19-3,73.3271713,172.573334,b100
135,19,2,19-2,f3697,0.5,19-5,19-6,19-5,5.78249741,241.314026,b100
136,19,3,19-3,Leaf,,,,,-0.0255335085,146.068634,
137,19,4,19-4,Leaf,,,,,0.508283913,26.5046921,
138,19,5,19-5,Leaf,,,,,-0.146610796,236.504501,
139,19,6,19-6,Leaf,,,,,0.161943495,4.80951929,
140,20,0,20-0,f839,0.5,20-1,20-2,20-1,27.7335625,412.116089,b100
141,20,1,20-1,f26603,0.5,20-3,20-4,20-3,63.0878029,216.529236,b100
142,20,2,20-2,f12631,0.5,20-5,20-6,20-5,3.24633408,195.586868,b100
143,20,3,20-3,Leaf,,,,,-0.103665642,137.976181,
144,20,4,20-4,Leaf,,,,,0.23134838,78.5530548,
145,20,5,20-5,Leaf,,,,,-0.142896399,191.573456,
146,20,6,20-6,Leaf,,,,,0.109348282,4.01340389,
147,21,0,21-0,f39145,0.5,21-1,21-2,21-1,51.8909073,424.994507,b100
148,21,1,21-1,f40906,-0.5,21-3,21-4,21-3,16.4480896,333.204193,b001
149,21,2,21-2,f39768,-0.5,21-5,21-6,21-5,41.7860985,91.7903214,b001
150,21,3,21-3,Leaf,,,,,0.0491809994,71.4832382,
151,21,4,21-4,Leaf,,,,,-0.112571739,261.720947,
152,21,5,21-5,Leaf,,,,,0.428162545,35.0820923,
153,21,6,21-6,Leaf,,,,,0.0149160409,56.7082291,
154,22,0,22-0,f25937,-0.5,22-1,22-2,22-1,89.3719254,632.628174,b001
155,22,1,22-1,f815,0.5,22-3,22-4,22-3,51.3340607,295.034698,b100
156,22,2,22-2,f23356,0.5,22-5,22-6,22-5,36.1655045,337.593445,b100
157,22,3,22-3,Leaf,,,,,0.142527729,187.926666,
158,22,4,22-4,Leaf,,,,,0.403320044,107.10804,
159,22,5,22-5,Leaf,,,,,-0.0862032473,167.678207,
160,22,6,22-6,Leaf,,,,,0.109608397,169.915237,
161,23,0,23-0,f755,0.5,23-1,23-2,23-1,47.9503593,436.134247,b100
162,23,1,23-1,f3843,0.5,23-3,23-4,23-3,35.6165276,388.280884,b100
163,23,2,23-2,f652,0.5,23-5,23-6,23-5,35.1138878,47.8533516,b100
164,23,3,23-3,Leaf,,,,,-0.052741006,357.587677,
165,23,4,23-4,Leaf,,,,,0.279077023,30.6932259,
166,23,5,23-5,Leaf,,,,,0.493176132,28.7628479,
167,23,6,23-6,Leaf,,,,,-0.026753623,19.0905037,
168,24,0,24-0,f3388,0.5,24-1,24-2,24-1,101.936005,435.38681,b100
169,24,1,24-1,f1291,0.5,24-3,24-4,24-3,20.5343094,301.977631,b100
170,24,2,24-2,f3799,0.5,24-5,24-6,24-5,28.4674149,133.409195,b100
171,24,3,24-3,Leaf,,,,,-0.11802084,276.249542,
172,24,4,24-4,Leaf,,,,,0.157971188,25.7280807,
173,24,5,24-5,Leaf,,,,,0.115704559,86.6313248,
174,24,6,24-6,Leaf,,,,,0.406243712,46.7778664,
175,25,0,25-0,f2152,0.5,25-1,25-2,25-1,94.1834183,436.972992,b100
176,25,1,25-1,f1291,0.5,25-3,25-4,25-3,42.5368042,348.740784,b100
177,25,2,25-2,f17576,0.5,25-5,25-6,25-5,23.6766586,88.2321854,b100
178,25,3,25-3,Leaf,,,,,-0.111893527,299.851532,
179,25,4,25-4,Leaf,,,,,0.18739517,48.8892746,
180,25,5,25-5,Leaf,,,,,0.330069333,78.5333481,
181,25,6,25-6,Leaf,,,,,-0.153603092,9.69883633,
182,26,0,26-0,f39956,-0.5,26-1,26-2,26-1,40.6518173,432.394226,b001
183,26,1,26-1,f39957,-0.5,26-3,26-4,26-3,105.396942,177.912735,b001
184,26,2,26-2,f13395,0.5,26-5,26-6,26-5,9.12591648,254.481476,b100
185,26,3,26-3,Leaf,,,,,-0.0130952615,136.163376,
186,26,4,26-4,Leaf,,,,,0.526772618,41.7493629,
187,26,5,26-5,Leaf,,,,,-0.0808707625,246.986588,
188,26,6,26-6,Leaf,,,,,0.23630856,7.49488497,
189,27,0,27-0,f5147,0.5,27-1,27-2,27-1,104.733917,420.26828,b100
190,27,1,27-1,f5879,0.5,27-3,27-4,27-3,13.383049,298.602875,b100
191,27,2,27-2,f31534,-0.5,27-5,27-6,27-5,31.54039,121.66539,b001
192,27,3,27-3,Leaf,,,,,-0.126995698,284.607269,
193,27,4,27-4,Leaf,,,,,0.165286735,13.9956017,
194,27,5,27-5,Leaf,,,,,-0.154929355,17.047966,
195,27,6,27-6,Leaf,,,,,0.277702689,104.617424,
196,28,0,28-0,f28263,0.5,28-1,28-2,28-1,29.6242371,401.185974,b100
197,28,1,28-1,f31571,-0.5,28-3,28-4,28-3,17.340683,344.123749,b001
198,28,2,28-2,f38455,-0.5,28-5,28-6,28-5,14.4350357,57.0622292,b001
199,28,3,28-3,Leaf,,,,,0.0488588214,96.1809616,
200,28,4,28-4,Leaf,,,,,-0.100733921,247.942795,
201,28,5,28-5,Leaf,,,,,-0.0248551499,20.9988079,
202,28,6,28-6,Leaf,,,,,0.285358697,36.0634193,
203,29,0,29-0,f40622,-0.5,29-1,29-2,29-1,69.0115509,388.85614,b001
204,29,1,29-1,f39852,-0.5,29-3,29-4,29-3,44.4538803,126.911903,b001
205,29,2,29-2,f42484,0.5,29-5,29-6,29-5,4.10791779,261.944214,b100
206,29,3,29-3,Leaf,,,,,0.281881005,73.1298141,
207,29,4,29-4,Leaf,,,,,-0.0752527714,53.7820892,
208,29,5,29-5,Leaf,,,,,-0.154529199,217.628143,
209,29,6,29-6,Leaf,,,,,-0.0527845919,44.3160782,
210,30,0,30-0,f839,0.5,30-1,30-2,30-1,42.5332489,387.297668,b100
211,30,1,30-1,f22940,0.5,30-3,30-4,30-3,53.5511169,199.778046,b100
212,30,2,30-2,f15442,0.5,30-5,30-6,30-5,1.88043594,187.519608,b100
213,30,3,30-3,Leaf,,,,,0.17938444,114.38028,
214,30,4,30-4,Leaf,,,,,-0.133021742,85.3977737,
215,30,5,30-5,Leaf,,,,,-0.155753896,185.699066,
216,30,6,30-6,Leaf,,,,,0.107400499,1.82053852,
217,31,0,31-0,f839,0.5,31-1,31-2,31-1,23.2583618,385.451233,b100
218,31,1,31-1,f26603,0.5,31-3,31-4,31-3,42.1363754,216.322952,b100
219,31,2,31-2,f15046,0.5,31-5,31-6,31-5,3.39958954,169.128296,b100
220,31,3,31-3,Leaf,,,,,-0.0962686911,124.933952,
221,31,4,31-4,Leaf,,,,,0.170499399,91.3890076,
222,31,5,31-5,Leaf,,,,,-0.136513993,167.144165,
223,31,6,31-6,Leaf,,,,,0.195468619,1.98412371,
224,32,0,32-0,f40928,-0.5,32-1,32-2,32-1,40.4272003,410.691467,b001
225,32,1,32-1,f41209,-0.5,32-3,32-4,32-3,29.7453575,106.709824,b001
226,32,2,32-2,f40037,-0.5,32-5,32-6,32-5,13.1962166,303.981659,b001
227,32,3,32-3,Leaf,,,,,-0.0105092777,56.3803406,
228,32,4,32-4,Leaf,,,,,0.30496493,50.329483,
229,32,5,32-5,Leaf,,,,,0.0123078004,104.402946,
230,32,6,32-6,Leaf,,,,,-0.119100437,199.578705,
231,33,0,33-0,f28282,-0.5,33-1,33-2,33-1,64.6082764,672.088745,b001
232,33,1,33-1,f36977,0.5,33-3,33-4,33-3,33.6261139,314.967651,b100
233,33,2,33-2,f3799,0.5,33-5,33-6,33-5,33.1057625,357.121094,b100
234,33,3,33-3,Leaf,,,,,0.237633601,253.145676,
235,33,4,33-4,Leaf,,,,,-0.00892476272,61.8219719,
236,33,5,33-5,Leaf,,,,,-0.0352650918,303.994812,
237,33,6,33-6,Leaf,,,,,0.219326437,53.1262589,
238,34,0,34-0,f25220,-0.5,34-1,34-2,34-1,42.130722,433.595581,b001
239,34,1,34-1,f23258,0.5,34-3,34-4,34-3,25.8427467,120.199242,b100
240,34,2,34-2,f931,0.5,34-5,34-6,34-5,13.8682098,313.396332,b100
241,34,3,34-3,Leaf,,,,,0.309554875,54.455265,
242,34,4,34-4,Leaf,,,,,0.0309640002,65.7439804,
243,34,5,34-5,Leaf,,,,,-0.0663993284,292.857971,
244,34,6,34-6,Leaf,,,,,0.183237955,20.5383549,
245,35,0,35-0,f3388,0.5,35-1,35-2,35-1,68.9462967,420.684692,b100
246,35,1,35-1,f43,0.5,35-3,35-4,35-3,21.0738659,274.591888,b100
247,35,2,35-2,f41591,-0.5,35-5,35-6,35-5,23.434433,146.092819,b001
248,35,3,35-3,Leaf,,,,,-0.106997944,258.919189,
249,35,4,35-4,Leaf,,,,,0.241611287,15.6726952,
250,35,5,35-5,Leaf,,,,,0.307303667,61.6088943,
251,35,6,35-6,Leaf,,,,,0.064125374,84.4839172,
252,36,0,36-0,f1379,0.5,36-1,36-2,36-1,82.8188248,424.397614,b100
253,36,1,36-1,f6836,0.5,36-3,36-4,36-3,14.9382954,268.921936,b100
254,36,2,36-2,f4795,0.5,36-5,36-6,36-5,33.4383011,155.475677,b100
255,36,3,36-3,Leaf,,,,,-0.116241045,254.977417,
256,36,4,36-4,Leaf,,,,,0.193458214,13.944519,
257,36,5,36-5,Leaf,,,,,0.0657768324,97.2273636,
258,36,6,36-6,Leaf,,,,,0.352574348,58.2483139,
259,37,0,37-0,f37069,-0.5,37-1,37-2,37-1,33.1933479,429.469818,b001
260,37,1,37-1,f1372,0.5,37-3,37-4,37-3,9.3939991,138.453751,b100
261,37,2,37-2,f39956,-0.5,37-5,37-6,37-5,55.4644547,291.016052,b001
262,37,3,37-3,Leaf,,,,,-0.125104144,136.700348,
263,37,4,37-4,Leaf,,,,,0.438857436,1.75340474,
264,37,5,37-5,Leaf,,,,,0.224904433,114.32946,
265,37,6,37-6,Leaf,,,,,-0.0423649177,176.6866,
266,38,0,38-0,f12132,0.5,38-1,38-2,38-1,73.8795624,398.570221,b100
267,38,1,38-1,f5147,0.5,38-3,38-4,38-3,24.9485893,340.227142,b100
268,38,2,38-2,f28802,-0.5,38-5,38-6,38-5,7.87686157,58.3430862,b001
269,38,3,38-3,Leaf,,,,,-0.115444586,256.6138,
270,38,4,38-4,Leaf,,,,,0.0725123957,83.613327,
271,38,5,38-5,Leaf,,,,,-0.149638414,2.86685443,
272,38,6,38-6,Leaf,,,,,0.318648905,55.4762344,
273,39,0,39-0,f23355,0.5,39-1,39-2,39-1,27.1641083,386.075378,b100
274,39,1,39-1,f40240,-0.5,39-3,39-4,39-3,3.97883606,192.786575,b001
275,39,2,39-2,f27890,-0.5,39-5,39-6,39-5,35.1994476,193.288818,b001
276,39,3,39-3,Leaf,,,,,-0.050547339,83.208847,
277,39,4,39-4,Leaf,,,,,-0.13831234,109.577721,
278,39,5,39-5,Leaf,,,,,-0.112805776,69.0564117,
279,39,6,39-6,Leaf,,,,,0.152883381,124.232407,
280,40,0,40-0,f40515,-0.5,40-1,40-2,40-1,53.3148499,364.920654,b001
281,40,1,40-1,f42019,-0.5,40-3,40-4,40-3,34.3421783,126.936211,b001
282,40,2,40-2,f30176,-0.5,40-5,40-6,40-5,4.40320206,237.984436,b001
283,40,3,40-3,Leaf,,,,,0.225597873,82.4283295,
284,40,4,40-4,Leaf,,,,,-0.0990357623,44.5078735,
285,40,5,40-5,Leaf,,,,,0.0115044527,18.585844,
286,40,6,40-6,Leaf,,,,,-0.139956281,219.39859,
287,41,0,41-0,f839,0.5,41-1,41-2,41-1,35.043045,365.782318,b100
288,41,1,41-1,f40020,0.5,41-3,41-4,41-3,39.7300339,204.762665,b100
289,41,2,41-2,f15442,0.5,41-5,41-6,41-5,1.74811935,161.019669,b100
290,41,3,41-3,Leaf,,,,,-0.0289935451,163.851013,
291,41,4,41-4,Leaf,,,,,0.298187852,40.9116516,
292,41,5,41-5,Leaf,,,,,-0.15264897,159.097031,
293,41,6,41-6,Leaf,,,,,0.0973717198,1.92263258,
294,42,0,42-0,f30130,0.5,42-1,42-2,42-1,19.9869938,362.500519,b100
295,42,1,42-1,f26179,0.5,42-3,42-4,42-3,24.9158001,200.318054,b100
296,42,2,42-2,f13372,0.5,42-5,42-6,42-5,5.70250511,162.182465,b100
297,42,3,42-3,Leaf,,,,,-0.0634991527,121.989182,
298,42,4,42-4,Leaf,,,,,0.152161077,78.3288727,
299,42,5,42-5,Leaf,,,,,-0.126997665,160.320465,
300,42,6,42-6,Leaf,,,,,0.306142271,1.86199963,
301,43,0,43-0,f39148,0.5,43-1,43-2,43-1,34.3212128,398.164978,b100
302,43,1,43-1,f40685,-0.5,43-3,43-4,43-3,11.1308327,295.459625,b001
303,43,2,43-2,f23205,0.5,43-5,43-6,43-5,21.3581276,102.705345,b100
304,43,3,43-3,Leaf,,,,,0.0308918431,77.3702774,
305,43,4,43-4,Leaf,,,,,-0.101136811,218.08934,
306,43,5,43-5,Leaf,,,,,-0.0589000732,34.1292038,
307,43,6,43-6,Leaf,,,,,0.229384258,68.5761414,
308,44,0,44-0,f2332,0.5,44-1,44-2,44-1,54.976841,700.12262,b100
309,44,1,44-1,f4169,0.5,44-3,44-4,44-3,37.4105301,453.680634,b100
310,44,2,44-2,f36988,-0.5,44-5,44-6,44-5,33.7088089,246.442001,b001
311,44,3,44-3,Leaf,,,,,-0.0122550046,428.991394,
312,44,4,44-4,Leaf,,,,,0.360435158,24.6892395,
313,44,5,44-5,Leaf,,,,,0.296789289,121.197754,
314,44,6,44-6,Leaf,,,,,0.0745178983,125.24424,
315,45,0,45-0,f25403,0.5,45-1,45-2,45-1,31.9959373,430.420532,b100
316,45,1,45-1,f931,0.5,45-3,45-4,45-3,12.845747,314.771454,b100
317,45,2,45-2,f28738,-0.5,45-5,45-6,45-5,18.5991192,115.649078,b001
318,45,3,45-3,Leaf,,,,,-0.0589135289,292.024109,
319,45,4,45-4,Leaf,,,,,0.170670867,22.7473278,
320,45,5,45-5,Leaf,,,,,0.272230446,52.4935913,
321,45,6,45-6,Leaf,,,,,0.0312547982,63.1554909,
322,46,0,46-0,f3388,0.5,46-1,46-2,46-1,49.5358238,403.942657,b100
323,46,1,46-1,f4687,0.5,46-3,46-4,46-3,19.6896343,252.177597,b100
324,46,2,46-2,f32264,-0.5,46-5,46-6,46-5,20.0755806,151.76506,b001
325,46,3,46-3,Leaf,,,,,-0.103700437,232.421097,
326,46,4,46-4,Leaf,,,,,0.201737776,19.7564964,
327,46,5,46-5,Leaf,,,,,-0.0477732755,38.8800621,
328,46,6,46-6,Leaf,,,,,0.200832129,112.885002,
329,47,0,47-0,f1379,0.5,47-1,47-2,47-1,59.3270569,412.355774,b100
330,47,1,47-1,f33384,-0.5,47-3,47-4,47-3,16.040884,245.19841,b001
331,47,2,47-2,f33359,-0.5,47-5,47-6,47-5,23.6814804,167.157364,b001
332,47,3,47-3,Leaf,,,,,0.0406163894,60.8826294,
333,47,4,47-4,Leaf,,,,,-0.136310026,184.315781,
334,47,5,47-5,Leaf,,,,,0.302159399,53.2024269,
335,47,6,47-6,Leaf,,,,,0.0605355091,113.954941,
336,48,0,48-0,f37155,0.5,48-1,48-2,48-1,26.2226448,425.249786,b100
337,48,1,48-1,f31410,0.5,48-3,48-4,48-3,16.5363503,319.989777,b100
338,48,2,48-2,f41654,-0.5,48-5,48-6,48-5,16.9852753,105.260002,b001
339,48,3,48-3,Leaf,,,,,-0.0746738464,247.156235,
340,48,4,48-4,Leaf,,,,,0.0871264189,72.8335266,
341,48,5,48-5,Leaf,,,,,-0.0346971862,35.3548126,
342,48,6,48-6,Leaf,,,,,0.218978018,69.9051895,
343,49,0,49-0,f5147,0.5,49-1,49-2,49-1,54.5407715,378.535461,b100
344,49,1,49-1,f6727,0.5,49-3,49-4,49-3,11.9404526,241.209229,b100
345,49,2,49-2,f30162,0.5,49-5,49-6,49-5,22.0108624,137.326218,b100
346,49,3,49-3,Leaf,,,,,-0.111378767,234.061401,
347,49,4,49-4,Leaf,,,,,0.259718448,7.14782238,
348,49,5,49-5,Leaf,,,,,0.195085138,110.907928,
349,49,6,49-6,Leaf,,,,,-0.106237531,26.4182968,
350,50,0,50-0,f4071,0.5,50-1,50-2,50-1,20.7048359,374.893188,b100
351,50,1,50-1,f26311,0.5,50-3,50-4,50-3,13.498539,323.308685,b100
352,50,2,50-2,f3084,0.5,50-5,50-6,50-5,12.1343679,51.5844955,b100
353,50,3,50-3,Leaf,,,,,0.00081997161,201.589371,
354,50,4,50-4,Leaf,,,,,-0.125374347,121.719307,
355,50,5,50-5,Leaf,,,,,0.226942554,41.4692802,
356,50,6,50-6,Leaf,,,,,-0.12897709,10.1152124,
357,51,0,51-0,f40635,-0.5,51-1,51-2,51-1,43.9804916,342.822632,b001
358,51,1,51-1,f45170,-0.5,51-3,51-4,51-3,24.9861279,140.112335,b001
359,51,2,51-2,f42484,0.5,51-5,51-6,51-5,4.02716827,202.710297,b100
360,51,3,51-3,Leaf,,,,,0.178731501,93.2233505,
361,51,4,51-4,Leaf,,,,,-0.0878663361,46.8889885,
362,51,5,51-5,Leaf,,,,,-0.148313403,165.767029,
363,51,6,51-6,Leaf,,,,,-0.0376039408,36.943264,
364,52,0,52-0,f22958,0.5,52-1,52-2,52-1,31.8856316,345.989716,b100
365,52,1,52-1,f28206,0.5,52-3,52-4,52-3,30.6287403,192.191452,b100
366,52,2,52-2,f3697,0.5,52-5,52-6,52-5,4.52639008,153.798264,b100
367,52,3,52-3,Leaf,,,,,-0.00162636291,171.46579,
368,52,4,52-4,Leaf,,,,,0.376462489,20.7256546,
369,52,5,52-5,Leaf,,,,,-0.150843471,149.476608,
370,52,6,52-6,Leaf,,,,,0.137514457,4.32165813,
371,53,0,53-0,f839,0.5,53-1,53-2,53-1,20.1446629,344.963593,b100
372,53,1,53-1,f25949,-0.5,53-3,53-4,53-3,34.5151215,205.398087,b001
