,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Split-Encoded
3589,515,6,515-6,Leaf,,,,,0.177998587,3.5016005,
3590,516,0,516-0,f17285,0.5,516-1,516-2,516-1,2.45215106,234.164612,b100
3591,516,1,516-1,f382,0.5,516-3,516-4,516-3,2.93405628,230.340698,b100
3592,516,2,516-2,f789,0.5,516-5,516-6,516-5,1.66316557,3.82391644,b100
3593,516,3,516-3,Leaf,,,,,0.00668719364,210.705826,
3594,516,4,516-4,Leaf,,,,,-0.111824989,19.6348724,
3595,516,5,516-5,Leaf,,,,,0.329065531,2.3635602,
3596,516,6,516-6,Leaf,,,,,-0.0337048844,1.46035635,
3597,517,0,517-0,f3970,0.5,517-1,517-2,517-1,3.732862,408.630157,b100
3598,517,1,517-1,f6880,0.5,517-3,517-4,517-3,4.2569809,394.089752,b100
3599,517,2,517-2,f24509,0.5,517-5,517-6,517-5,0.874089003,14.5404224,b100
3600,517,3,517-3,Leaf,,,,,-0.00389160798,361.26358,
3601,517,4,517-4,Leaf,,,,,0.107396334,32.8261681,
3602,517,5,517-5,Leaf,,,,,-0.172618002,12.4319353,
3603,517,6,517-6,Leaf,,,,,0.0246408265,2.10848713,
3604,518,0,518-0,f4973,0.5,518-1,518-2,518-1,2.62861538,260.859283,b100
3605,518,1,518-1,f39307,-0.5,518-3,518-4,518-3,2.90712953,250.91423,b001
3606,518,2,518-2,f25245,-0.5,518-5,518-6,518-5,1.73580551,9.9450407,b001
3607,518,3,518-3,Leaf,,,,,0.0413234159,78.9925995,
3608,518,4,518-4,Leaf,,,,,-0.0278469771,171.921631,
3609,518,5,518-5,Leaf,,,,,0.262468368,4.53519154,
3610,518,6,518-6,Leaf,,,,,0.0195503961,5.40984964,
3611,519,0,519-0,f5667,0.5,519-1,519-2,519-1,2.41810417,169.983261,b100
3612,519,1,519-1,f36956,-0.5,519-3,519-4,519-3,2.60849953,162.668808,b001
3613,519,2,519-2,f5013,0.5,519-5,519-6,519-5,1.17439127,7.31444979,b100
3614,519,3,519-3,Leaf,,,,,-0.123801418,14.679594,
3615,519,4,519-4,Leaf,,,,,0.00485409424,147.989212,
3616,519,5,519-5,Leaf,,,,,0.203150675,6.29228354,
3617,519,6,519-6,Leaf,,,,,-0.0812961757,1.02216661,
3618,520,0,520-0,f5791,0.5,520-1,520-2,520-1,2.36454892,117.216042,b100
3619,520,1,520-1,f1291,0.5,520-3,520-4,520-3,2.46537781,106.112595,b100
3620,520,2,520-2,f8424,0.5,520-5,520-6,520-5,1.01057172,11.1034489,b100
3621,520,3,520-3,Leaf,,,,,-0.0407638997,74.5502396,
3622,520,4,520-4,Leaf,,,,,0.0580106676,31.5623512,
3623,520,5,520-5,Leaf,,,,,0.163298145,9.54586029,
3624,520,6,520-6,Leaf,,,,,-0.0639186502,1.5575881,
3625,521,0,521-0,f9993,0.5,521-1,521-2,521-1,2.77316642,269.237549,b100
3626,521,1,521-1,f35796,0.5,521-3,521-4,521-3,2.83575821,261.084534,b100
3627,521,2,521-2,f32491,-0.5,521-5,521-6,521-5,1.25399947,8.15299606,b001
3628,521,3,521-3,Leaf,,,,,0.0144892838,190.715118,
3629,521,4,521-4,Leaf,,,,,-0.0555653237,70.3694153,
3630,521,5,521-5,Leaf,,,,,-0.081213221,1.0833745,
3631,521,6,521-6,Leaf,,,,,0.206369445,7.06962156,
3632,522,0,522-0,f470,0.5,522-1,522-2,522-1,2.2605052,162.253769,b100
3633,522,1,522-1,f39626,-0.5,522-3,522-4,522-3,2.74240446,147.538467,b001
3634,522,2,522-2,f3127,0.5,522-5,522-6,522-5,1.34484816,14.7152948,b100
3635,522,3,522-3,Leaf,,,,,0.0621169135,34.4954262,
3636,522,4,522-4,Leaf,,,,,-0.033392176,113.043045,
3637,522,5,522-5,Leaf,,,,,0.143226549,12.7983599,
3638,522,6,522-6,Leaf,,,,,-0.091065228,1.91693485,
3639,523,0,523-0,f29533,0.5,523-1,523-2,523-1,2.54666162,199.732071,b100
3640,523,1,523-1,f35247,0.5,523-3,523-4,523-3,2.56329322,146.309738,b100
3641,523,2,523-2,f37011,0.5,523-5,523-6,523-5,2.41123152,53.4223251,b100
3642,523,3,523-3,Leaf,,,,,-0.00806749146,128.889175,
3643,523,4,523-4,Leaf,,,,,-0.127787128,17.4205551,
3644,523,5,523-5,Leaf,,,,,0.077783525,46.4104958,
3645,523,6,523-6,Leaf,,,,,-0.101280101,7.01183224,
3646,524,0,524-0,f32978,-0.5,524-1,524-2,524-1,1.56440043,107.442749,b001
3647,524,1,524-1,f45148,0.5,524-3,524-4,524-3,2.01596093,54.8043785,b100
3648,524,2,524-2,f414,0.5,524-5,524-6,524-5,2.21407557,52.6383667,b100
3649,524,3,524-3,Leaf,,,,,0.0564140566,48.6823921,
3650,524,4,524-4,Leaf,,,,,-0.114837237,6.12198639,
3651,524,5,524-5,Leaf,,,,,-0.0496936291,50.8023148,
3652,524,6,524-6,Leaf,,,,,0.223411903,1.83605218,
3653,525,0,525-0,f2174,0.5,525-1,525-2,525-1,1.77804697,106.68589,b100
3654,525,1,525-1,f5217,0.5,525-3,525-4,525-3,1.98237383,94.0916748,b100
3655,525,2,525-2,f359,0.5,525-5,525-6,525-5,0.884839058,12.5942135,b100
3656,525,3,525-3,Leaf,,,,,-0.0273923092,92.3440933,
3657,525,4,525-4,Leaf,,,,,0.231446236,1.74758458,
3658,525,5,525-5,Leaf,,,,,0.129428729,10.5158587,
3659,525,6,525-6,Leaf,,,,,-0.061108537,2.07835436,
3660,526,0,526-0,f4434,0.5,526-1,526-2,526-1,2.22958827,166.499222,b100
3661,526,1,526-1,f25185,-0.5,526-3,526-4,526-3,2.91340613,157.877716,b001
3662,526,2,526-2,f32260,-0.5,526-5,526-6,526-5,2.52926779,8.62150383,b001
3663,526,3,526-3,Leaf,,,,,0.048949495,52.6595573,
3664,526,4,526-4,Leaf,,,,,-0.0368227251,105.218155,
3665,526,5,526-5,Leaf,,,,,-0.107510343,2.13603759,
3666,526,6,526-6,Leaf,,,,,0.225811526,6.485466,
3667,527,0,527-0,f7103,0.5,527-1,527-2,527-1,2.3934865,232.342133,b100
3668,527,1,527-1,f26870,-0.5,527-3,527-4,527-3,2.63790059,226.620575,b001
3669,527,2,527-2,f317,0.5,527-5,527-6,527-5,0.868570328,5.72156382,b100
